Minutiae type,X coordinate,Y coordinate,Açı (θ)
Ending,68,189,10.377304
Ending,70,189,12.554634
Ending,129,189,14.255686
Ending,172,189,13.081171
Ending,229,190,9.847261
Ending,231,192,11.171082
Ending,88,193,19.109472
Ending,234,194,11.185265
Ending,87,195,17.705795
Ending,126,195,14.866412
Ending,55,197,8.551382
Ending,158,197,7.9874344
Ending,65,199,9.287527
Ending,353,199,7.2281375
Ending,42,200,2.5697403
Ending,294,200,7.0381727
Ending,41,201,2.3844452
Ending,63,204,6.249622
Ending,66,204,13.092152
Ending,154,204,12.574773
Ending,168,204,9.391728
Ending,172,204,7.206912
Ending,306,205,10.918263
Ending,309,206,14.844291
Ending,364,206,4.4116955
Ending,361,207,4.764122
Ending,152,208,12.839333
Ending,171,208,8.89797
Ending,220,209,15.112791
Ending,311,209,13.689181
Ending,346,209,7.870639
Ending,361,209,4.6874466
Ending,171,210,11.626965
Ending,247,211,12.320969
Ending,170,212,12.492721
Ending,170,213,13.316532
Ending,198,214,7.7077913
Ending,228,214,7.6983175
Ending,169,215,13.487072
Ending,53,218,9.880959
Ending,179,218,12.285466
Ending,178,220,13.055012
Ending,358,220,13.113199
Ending,372,220,4.793788
Ending,374,220,4.292379
Ending,188,221,8.012648
Ending,178,222,14.934676
Ending,198,223,8.155247
Ending,361,223,11.938451
Ending,373,223,4.5061045
Ending,177,224,13.283346
Ending,210,224,10.449928
Ending,364,224,6.062594
Ending,200,226,11.002173
Ending,320,226,9.876709
Ending,341,226,10.2288475
Ending,190,227,7.3601775
Ending,365,228,8.616208
Ending,343,229,13.653252
Ending,51,230,7.584338
Ending,214,230,12.311712
Ending,225,230,12.648475
Ending,275,234,12.782457
Ending,195,235,11.280054
Ending,206,236,11.5627365
Ending,276,237,14.552381
Ending,197,238,11.079814
Ending,230,238,10.258551
Ending,44,239,4.8085246
Ending,265,239,14.064235
Ending,197,240,11.763614
Ending,209,241,9.525982
Ending,43,242,4.390748
Ending,243,242,13.094339
Ending,266,242,14.198502
Ending,290,242,14.819523
Ending,54,243,6.443645
Ending,199,243,11.323441
Ending,210,243,8.999394
Ending,221,243,11.864479
Ending,313,243,14.766012
Ending,362,243,8.560061
Ending,52,244,10.624103
Ending,368,244,6.2763247
Ending,199,245,11.526471
Ending,233,245,12.149496
Ending,244,245,12.949827
Ending,291,245,15.357804
Ending,222,246,10.534594
Ending,315,246,14.436567
Ending,327,246,15.474726
Ending,201,248,10.874793
Ending,212,248,9.473506
Ending,223,248,9.777827
Ending,234,248,12.458249
Ending,328,249,15.683106
Ending,201,250,11.074325
Ending,213,250,9.300053
Ending,245,250,11.043069
Ending,269,250,11.969864
Ending,358,250,6.278101
Ending,51,251,11.95384
Ending,304,251,15.817903
Ending,317,251,14.250431
Ending,359,251,7.027966
Ending,370,251,7.5451326
Ending,372,251,5.745019
Ending,341,252,15.256222
Ending,214,253,9.88105
Ending,236,253,11.772803
Ending,353,253,12.122778
Ending,371,253,5.5699215
Ending,52,254,16.481369
Ending,306,254,14.534091
Ending,318,254,14.947027
Ending,361,254,10.455318
Ending,259,255,15.487519
Ending,271,255,10.056284
Ending,342,255,14.940161
Ending,364,255,8.264423
Ending,204,256,10.795502
Ending,215,256,10.408344
Ending,271,256,10.512504
Ending,41,257,4.9566803
Ending,43,257,4.413984
Ending,193,257,16.738094
Ending,260,258,14.677761
Ending,41,259,5.505982
Ending,227,259,11.58351
Ending,238,259,11.118332
Ending,249,259,10.112322
Ending,272,259,11.081587
Ending,364,259,11.991306
Ending,195,260,16.298452
Ending,238,260,11.776028
Ending,249,260,10.569195
Ending,205,261,10.362981
Ending,272,261,12.325531
Ending,356,261,11.753724
Ending,239,263,13.254954
Ending,250,263,10.83147
Ending,334,263,14.101116
Ending,345,263,13.401688
Ending,367,263,13.278653
Ending,273,264,14.020236
Ending,218,265,12.416692
Ending,335,266,14.375741
Ending,347,266,14.4859295
Ending,40,267,4.4728603
Ending,262,267,14.337124
Ending,43,268,5.5257006
Ending,251,268,12.87379
Ending,370,268,9.811098
Ending,298,269,12.140665
Ending,129,270,14.465643
Ending,263,270,14.077538
Ending,41,271,6.226
Ending,252,271,13.511229
Ending,263,272,15.001028
Ending,300,272,13.175388
Ending,129,273,17.848543
Ending,210,273,12.595298
Ending,252,273,14.559043
Ending,264,275,14.553495
Ending,253,276,14.886483
Ending,340,276,12.886353
Ending,170,278,14.64975
Ending,297,279,8.915868
Ending,304,279,13.633917
Ending,341,279,12.476841
Ending,368,279,10.340335
Ending,295,280,9.615457
Ending,172,281,13.690104
Ending,41,282,4.1382213
Ending,44,282,4.849063
Ending,161,282,12.854897
Ending,306,282,12.737552
Ending,342,282,10.29151
Ending,172,283,12.894916
Ending,367,283,9.07835
Ending,372,283,6.0928183
Ending,43,284,6.3535757
Ending,142,285,15.992413
Ending,163,285,10.719103
Ending,344,285,9.678134
Ending,369,285,11.396191
Ending,152,286,12.819246
Ending,174,286,12.402736
Ending,163,287,9.231417
Ending,143,288,15.196371
Ending,174,288,11.875015
Ending,332,288,14.888382
Ending,133,290,15.2434025
Ending,176,291,11.862335
Ending,333,291,14.217287
Ending,374,291,6.2779064
Ending,373,292,5.233351
Ending,133,293,13.945328
Ending,176,293,11.151937
Ending,156,294,11.254899
Ending,43,296,8.329126
Ending,146,296,13.335837
Ending,178,296,11.738404
Ending,368,298,8.686056
Ending,124,299,14.177829
Ending,158,300,11.659772
Ending,137,301,13.421068
Ending,180,301,13.097632
Ending,115,302,13.71332
Ending,126,302,16.309353
Ending,148,302,12.9208355
Ending,160,303,12.991179
Ending,138,304,13.422525
Ending,182,304,13.886553
Ending,359,304,15.118925
Ending,104,305,12.6235285
Ending,203,306,11.280773
Ending,324,306,15.689798
Ending,192,307,9.307093
Ending,361,307,14.761874
Ending,371,307,5.395441
Ending,47,308,13.540981
Ending,106,308,14.382467
Ending,140,309,14.285829
Ending,163,309,13.579722
Ending,325,309,15.2497225
Ending,373,309,4.8249807
Ending,350,310,14.34448
Ending,47,311,11.840976
Ending,107,311,14.597025
Ending,118,311,12.927902
Ending,47,312,10.589931
Ending,142,312,15.579538
Ending,165,312,14.040777
Ending,197,312,10.084889
Ending,207,312,10.760412
Ending,70,313,14.6987
Ending,177,313,11.129661
Ending,351,313,14.042311
Ending,108,314,15.082577
Ending,49,315,12.774376
Ending,235,316,12.977503
Ending,193,317,9.235165
Ending,195,317,11.455403
Ending,207,317,7.5123944
Ending,37,318,6.4064565
Ending,85,318,11.972507
Ending,234,318,13.9831295
Ending,50,319,13.83659
Ending,144,319,8.678204
Ending,211,319,8.689666
Ending,245,319,13.739956
Ending,256,319,15.063088
Ending,209,320,8.241234
Ending,87,321,15.218554
Ending,244,321,14.538185
Ending,255,321,16.998127
Ending,267,321,15.207103
Ending,37,322,6.3461285
Ending,51,322,14.553032
Ending,244,323,12.354186
Ending,266,323,17.22121
Ending,369,324,8.526239
Ending,243,325,13.778847
Ending,39,327,8.264002
Ending,42,328,8.8239155
Ending,318,328,12.236069
Ending,65,329,15.242155
Ending,42,332,12.252062
Ending,67,332,14.368427
Ending,376,332,3.231591
Ending,375,333,3.4326777
Ending,186,334,14.467438
Ending,322,334,10.723667
Ending,44,335,13.500599
Ending,56,335,15.33642
Ending,189,336,13.847225
Ending,158,337,11.001698
Ending,323,337,13.054369
Ending,57,338,15.845385
Ending,44,339,8.853203
Ending,46,339,13.360963
Ending,249,339,12.90152
Ending,367,339,7.9775367
Ending,248,341,11.536251
Ending,47,342,12.936601
Ending,49,342,5.4233103
Ending,180,342,12.129826
Ending,261,342,12.8533
Ending,83,343,13.291072
Ending,185,345,11.329296
Ending,85,346,13.307924
Ending,111,346,11.457912
Ending,259,346,11.716612
Ending,273,346,14.465786
Ending,363,346,9.811199
Ending,375,346,8.605174
Ending,205,348,7.4189835
Ending,206,348,6.2832556
Ending,272,348,14.259939
Ending,49,349,10.887054
Ending,202,349,11.011038
Ending,38,350,6.364999
Ending,43,351,6.5732217
Ending,176,351,11.150793
Ending,48,352,9.061039
Ending,217,352,14.077345
Ending,89,353,10.777317
Ending,215,353,14.735309
Ending,366,353,9.694881
Ending,381,353,6.9936414
Ending,62,354,9.863901
Ending,164,354,10.975672
Ending,285,354,13.168495
Ending,379,354,7.059306
Ending,183,355,10.962614
Ending,306,355,8.576839
Ending,91,356,10.305288
Ending,284,356,13.197382
Ending,92,357,10.845055
Ending,367,357,5.4941573
Ending,372,357,6.4591656
Ending,318,358,16.263445
Ending,94,360,11.204813
Ending,344,360,12.58244
Ending,33,361,2.7699416
Ending,319,361,16.278961
Ending,32,362,2.6129718
Ending,143,362,11.483051
Ending,173,362,13.817339
Ending,67,363,9.713312
Ending,176,363,15.266424
